,hour,tweets_count,interactions_count,retweet_count,favorite_count,interactions_avg,retweets_avg,favorites_avg,engagement_rate
0,0,1,14933,14933,0,14933.0,14933.0,0.0,0.17930871345727925
1,2,1,111684,14984,96700,111684.0,14984.0,96700.0,1.3410509846489502
2,3,24,66,12,54,2.75,0.5,2.25,3.302075690783001e-05
3,4,42,148,18,130,3.5238095238095237,0.42857142857142855,3.0952380952380953,4.231231214820349e-05
4,5,48,27437,5995,21442,571.6041666666666,124.89583333333333,446.7083333333333,0.006863564437295717
5,6,39,72,9,63,1.8461538461538463,0.23076923076923078,1.6153846153846154,2.2167781560261045e-05
6,7,20,220,27,193,11.0,1.35,9.65,0.00013208302775147103
7,8,28,2085,229,1856,74.46428571428571,8.178571428571429,66.28571428571429,0.0008941335873141481
8,9,50,157,22,135,3.14,0.44,2.7,3.7703700949870746e-05
9,10,75,745410,246702,498708,9938.8,3289.36,6649.44,0.11934061764717929
10,11,78,544214,79424,464790,6977.102564102564,1018.2564102564103,5958.846153846154,0.0837778939107247
11,12,110,62020,8270,53750,563.8181818181819,75.18181818181819,488.6363636363636,0.006770073850620557
12,13,62,40782,8186,32596,657.7741935483871,132.03225806451613,525.741935483871,0.007898255166080167
13,14,72,321046,87751,233295,4458.972222222223,1218.763888888889,3240.2083333333335,0.0535413227422826
14,15,54,26410,4717,21693,489.0740740740741,87.35185185185185,401.72222222222223,0.005872580393457884
15,16,51,6634,1032,5602,130.07843137254903,20.235294117647058,109.84313725490196,0.001561923001947686
16,17,61,5902,529,5373,96.75409836065573,8.672131147540984,88.08196721311475,0.0011617794749294308
17,18,55,780286,202602,577684,14187.018181818183,3683.672727272727,10503.345454545455,0.17035130100968524
18,19,58,23094,8096,14998,398.17241379310343,139.58620689655172,258.58620689655174,0.004781074350518471
19,20,37,7418,771,6647,200.48648648648648,20.83783783783784,179.64864864864865,0.0024073510987385064
20,21,19,20126,4006,16120,1059.2631578947369,210.8421052631579,848.421052631579,0.012719153155320321
21,22,15,27459,25928,1531,1830.6,1728.5333333333333,102.06666666666666,0.021981019903567718
